meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code,height,age_at_meet,capital_city
18th FINA World Championships 2019,56.88,2019-07-21,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,1994-12-28,,,1,1,1011.0,Gwangju,KOR,191,24.6,London
Olympic Games Tokyo 2020,57.8,2021-07-24,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,1995-10-22,,,2,2,953.0,Tokyo,JPN,-,25.8,Amsterdam
US Olympic Team Trials - Wave II,58.14,2021-06-13,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,1999-04-18,,,3,3,936.0,Omaha,USA,196,22.2,"Washington, D.C."
European Championships 2022,58.26,2022-08-12,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,1999-08-01,,,4,4,930.0,Rome,ITA,187,23.0,Rome
Meeting International FFN - Golden Tour,58.29,2019-03-24,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,1994-08-02,,,5,5,939.0,Marseille,FRA,194,24.6,Minsk
Phillips 66 International Team Trials 2022,58.37,2022-04-29,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,1993-07-03,,,6,6,925.0,Greensboro,USA,190,28.8,"Washington, D.C."
18th FINA World Championships 2019,58.46,2019-07-22,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,1993-11-12,,,7,7,931.0,Gwangju,KOR,-,25.7,London
Olympic Games London 2012,58.46,2012-07-29,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,1988-05-25,,,7,8,1006.0,London,GBR,187,24.2,Cape Town
13th FINA World Championships 2009,58.58,2009-07-27,Men 100 Breaststroke LCM Male,AUS,Australia,"RICKARD, Brenton",M,1983-10-19,,,9,9,,Rome,ITA,-,25.8,Canberra
18th FINA World Championships 2019,58.63,2019-07-22,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,1995-10-12,,,10,10,923.0,Gwangju,KOR,187,23.8,Beijing
17th FINA World Championships 2017,58.64,2017-07-23,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,1993-08-13,,,11,11,924.0,Budapest,HUN,-,23.9,"Washington, D.C."
13th FINA World Championships 2009,58.64,2009-07-27,Men 100 Breaststroke LCM Male,FRA,France,"DUBOSCQ, Hugues",M,1981-08-29,,,11,12,,Rome,ITA,-,27.9,Paris
Ukrainian National Cup,58.67,2009-06-13,Men 100 Breaststroke LCM Male,UKR,Ukraine,"BORYSIK, Igor",M,1984-06-02,,,13,13,,Donetsk,UKR,-,25.0,Kyiv
14th FINA World Championships 2011,58.71,2011-07-25,Men 100 Breaststroke LCM Male,NOR,Norway,"DALE OEN, Alexander",M,1985-05-21,,,14,14,993.0,Shanghai,CHN,190,26.2,Oslo
US Olympic Team Trials - Wave II,58.74,2021-06-14,Men 100 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,1993-09-16,,,15,15,907.0,Omaha,USA,-,27.7,"Washington, D.C."
Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,58.78,2018-06-16,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,1992-03-14,,,16,16,918.0,Monaco,MON,188,26.3,Tokyo
15th FINA World Championships 2013,58.79,2013-07-29,Men 100 Breaststroke LCM Male,AUS,Australia,"SPRENGER, Christian",M,1985-12-19,,,17,17,983.0,Barcelona,ESP,196,27.6,Canberra
Russian National  Championships (50m),58.83,2020-10-26,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,1997-02-22,,,18,18,903.0,Kazan,RUS,188,23.7,Moscow
Open Age Long Cours Clubs Championship,58.85,2019-08-03,Men 100 Breaststroke LCM Male,TUR,Turkey,"SAKCI, Huseyin",M,1997-11-15,,,19,19,913.0,Istanbul,TUR,203,21.7,Ankara
Olympic Games Rio 2016,58.87,2016-08-07,Men 100 Breaststroke LCM Male,USA,United States of America,"MILLER, Cody",M,1992-01-09,,,20,20,952.0,Rio de Janeiro,BRA,180,24.6,"Washington, D.C."
